City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,lukovetskiy,64.2956,41.9211,-8.31,95,99,2.46,RU,1680572524
284,arman,59.7,150.1667,-3.32,75,47,1.79,RU,1680572525
285,obo,5.3998,26.4869,20.21,76,53,1.96,CF,1680572525
286,husavik,66.0449,-17.3389,2.38,96,100,4.7,IS,1680572525
287,atbasar,51.8,68.3333,-1.52,77,60,3.16,KZ,1680572525
288,trenggalek,-8.05,111.7167,27.39,75,94,0.89,ID,1680572526
289,filingue,14.3521,3.3168,27.04,8,76,4.37,NE,1680572526
290,camana,-16.6228,-72.7111,24.16,83,74,2.12,PE,1680572526
291,mayo,38.8876,-76.5119,17.34,80,0,7.72,US,1680572527
292,motala,58.5371,15.0365,-1.13,76,100,1.86,SE,1680572527
293,tifton,31.4505,-83.5085,16.98,98,9,2.36,US,1680572527
294,alihe,50.5667,123.7167,-0.17,30,79,5.64,CN,1680572527
295,pindwara,24.8,73.0667,22.3,62,1,0.99,IN,1680572528
296,kedrovyy,56.1667,91.8167,-1.74,95,100,5.27,RU,1680572528
297,nemuro,43.3236,145.575,4.49,65,99,6.56,JP,1680572529
298,norman wells,65.282,-126.8329,-0.98,59,40,2.57,CA,1680572358
299,karoi,-16.8099,29.6925,15.37,98,48,2.07,ZW,1680572529
300,grindavik,63.8424,-22.4338,8.97,100,100,12.35,IS,1680572529
301,ducheng,23.2373,111.5317,26.5,74,72,5.02,CN,1680572530
302,havre-saint-pierre,50.2334,-63.5986,-2.0,74,100,4.63,CA,1680572530
303,la ronge,55.1001,-105.2842,-5.86,42,20,2.57,CA,1680572256
304,monster,52.0258,4.175,3.88,73,52,1.54,NL,1680572530
305,longyearbyen,78.2186,15.6401,-15.09,66,20,6.17,SJ,1680572518
306,jibuti,11.5,42.5,23.92,81,92,3.68,DJ,1680572531
307,dicabisagan,17.0818,122.4157,24.3,80,94,2.2,PH,1680572532
308,hualmay,-11.0964,-77.6139,24.98,80,93,4.31,PE,1680572532
309,ambulu,-8.345,113.6058,26.31,79,100,0.45,ID,1680572532
310,ostrovnoy,68.0531,39.5131,-9.46,89,8,8.82,RU,1680572533
311,port blair,11.6667,92.75,27.59,68,100,2.3,IN,1680572533
312,ganganagar,29.9167,73.8833,18.41,66,3,3.16,IN,1680572533
313,anadyr,64.75,177.4833,-21.72,77,20,3.0,RU,1680572500
314,copiapo,-27.3667,-70.3333,16.83,73,45,0.64,CL,1680572213
315,sola,-13.8833,167.55,28.39,73,100,7.2,VU,1680572534
316,pag,44.445,15.0575,6.32,67,65,11.66,HR,1680572534
317,ixtapa,20.7,-105.2,24.57,73,40,2.57,MX,1680572535
318,grants,35.1473,-107.8514,14.13,11,0,10.29,US,1680572428
319,grootfontein,-19.5667,18.1167,17.76,88,15,1.54,NA,1680572535
320,pangnirtung,66.1451,-65.7125,-18.85,67,23,3.33,CA,1680572535
321,wakkanai,45.4094,141.6739,8.99,61,75,9.77,JP,1680572451
322,nagato,34.3833,131.2,18.01,61,100,6.61,JP,1680572305
323,kavaratti,10.5669,72.642,27.34,71,100,3.61,IN,1680572536
324,ballina,-28.8667,153.5667,22.1,79,90,6.11,AU,1680572536
325,bajil,15.0584,43.2851,25.85,80,44,1.15,YE,1680572537
326,salalah,17.0151,54.0924,29.05,21,20,4.12,OM,1680572537
327,plouzane,48.3833,-4.6167,5.03,93,4,2.57,FR,1680572538
328,abeokuta,7.15,3.35,25.91,87,99,2.76,NG,1680572538
329,sarangpur,23.5667,76.4667,25.15,34,32,3.72,IN,1680572538
330,esperance,-33.8667,121.9,20.05,73,100,4.77,AU,1680572539
331,oranjemund,-28.55,16.4333,14.56,87,0,3.84,NA,1680572539
332,ustye,59.6304,39.736,1.4,99,100,2.96,RU,1680572539
333,ayagoz,47.9714,80.4392,-0.51,30,0,7.93,KZ,1680572540
334,rudsar,37.1376,50.288,9.99,80,100,2.12,IR,1680572540
335,dindori,22.95,81.0833,25.54,27,0,1.72,IN,1680572540
336,qaanaaq,77.484,-69.3632,-23.59,62,0,3.01,GL,1680572541
337,la palma,33.8464,-118.0467,16.77,35,0,8.23,US,1680572541
338,bhatkal,13.9667,74.5667,24.31,76,12,1.35,IN,1680572541
339,grand gaube,-20.0064,57.6608,24.22,81,90,0.89,MU,1680572542
340,racine,42.7495,-88.0751,8.73,82,100,4.63,US,1680572266
341,qaqortoq,60.7167,-46.0333,-1.41,79,95,1.92,GL,1680572542
342,boa vista,2.8197,-60.6733,28.99,48,0,4.63,BR,1680572542
343,sorong,-0.8833,131.25,27.38,78,100,3.6,ID,1680572542
344,weiden,49.6775,12.1567,-0.16,71,40,0.0,DE,1680572543
345,minab,27.1467,57.0801,18.18,82,9,0.0,IR,1680572543
346,saint-junien,45.8833,0.9,3.32,97,11,2.14,FR,1680572543
347,kushima,31.4583,131.2333,19.87,50,92,5.7,JP,1680572544
348,rundu,-17.9333,19.7667,18.37,64,71,0.34,NA,1680572544
349,college,64.8569,-147.8028,1.72,56,75,1.54,US,1680572292
350,elbistan,38.2059,37.1983,8.97,84,100,1.43,TR,1680572545
351,saint-joseph,-21.3667,55.6167,23.21,79,98,1.31,RE,1680572488
352,zeya,53.75,127.2667,-3.65,65,89,5.25,RU,1680572465
353,huarmey,-10.0681,-78.1522,25.58,81,100,3.28,PE,1680572545
354,izumo,35.3667,132.7667,12.97,62,0,2.57,JP,1680572546
355,conde,-7.2597,-34.9075,25.7,83,75,1.54,BR,1680572546
356,deer lake,49.1667,-57.4316,-2.08,86,75,6.17,CA,1680572546
357,karatuzskoye,53.6072,92.8667,-3.46,65,100,2.19,RU,1680572547
358,springdale,36.1867,-94.1288,25.85,51,0,6.17,US,1680572391
359,tomatlan,19.9333,-105.25,20.52,73,82,1.12,MX,1680572547
360,craig,40.5153,-107.5464,6.33,80,100,7.2,US,1680572548
361,matara,5.9485,80.5353,25.56,85,85,0.16,LK,1680572548
362,dong hoi,17.4833,106.6,29.98,60,7,2.46,VN,1680572548
363,diamantino,-14.4086,-56.4461,21.72,96,10,2.11,BR,1680572549
364,cabo san lucas,22.8909,-109.9124,29.61,56,100,5.14,MX,1680572414
365,lorengau,-2.0226,147.2712,29.83,64,20,2.31,PG,1680572549
366,christchurch,-43.5333,172.6333,20.79,60,7,1.54,NZ,1680572264
367,solnechnyy,50.7214,136.6319,2.22,77,100,2.37,RU,1680572549
368,ulaangom,49.9811,92.0667,-13.05,81,87,1.33,MN,1680572550
369,burgersdorp,-30.9977,26.3286,9.26,84,61,2.78,ZA,1680572550
370,totma,59.9747,42.7642,1.15,99,100,3.21,RU,1680572550
371,dongying,37.4564,118.4856,8.88,89,100,11.5,CN,1680572551
372,ferrol,43.4832,-8.2369,12.06,79,74,5.36,ES,1680572551
373,darnah,32.767,22.6367,14.82,67,0,10.17,LY,1680572551
374,waingapu,-9.6567,120.2641,28.39,75,79,2.52,ID,1680572552
375,kenai,60.5544,-151.2583,0.64,76,100,4.63,US,1680572552
376,kharan,28.5833,65.4167,19.66,18,0,3.23,PK,1680572552
377,hami,42.8,93.45,0.27,77,100,2.5,CN,1680572553
378,cururupu,-1.8283,-44.8683,21.88,98,64,0.7,BR,1680572483
379,mamakan,57.8161,114.0028,-2.46,75,100,7.45,RU,1680572553
380,tessalit,20.1986,1.0114,24.26,7,0,1.85,ML,1680572553
381,olafsvik,64.8945,-23.7142,6.19,97,100,8.96,IS,1680572553
382,redlands,34.0556,-117.1825,14.53,28,20,7.72,US,1680572266
383,joshimath,30.5667,79.5667,10.82,55,19,1.76,IN,1680572554
384,kailua,21.4022,-157.7394,28.99,71,40,4.63,US,1680572262
385,nova vicosa,-17.8919,-39.3719,25.33,73,100,4.79,BR,1680572554
386,south venice,27.0531,-82.4243,25.02,89,0,1.54,US,1680572554
387,yar-sale,66.8333,70.8333,-15.44,82,96,7.13,RU,1680572554
388,battle creek,42.3212,-85.1797,10.21,72,100,2.57,US,1680572554
389,muzhi,65.3667,64.6667,-17.7,92,5,2.52,RU,1680572555
390,villazon,-22.0866,-65.5942,11.04,67,98,2.59,BO,1680572555
391,tilichiki,60.4667,166.1,-9.83,88,100,5.13,RU,1680572555
392,mocorito,25.4833,-107.9167,22.34,20,100,1.19,MX,1680572548
393,jackson,42.4165,-122.8345,5.77,68,85,4.47,US,1680572462
394,saint-pierre,-21.3393,55.4781,23.82,73,0,2.57,RE,1680572556
395,zhigansk,66.7697,123.3711,-8.41,92,100,1.96,RU,1680572508
396,puerto leguizamo,-0.1934,-74.7819,22.68,93,77,0.69,CO,1680572557
397,buchanan,5.8808,-10.0467,25.19,87,94,2.5,LR,1680572557
398,sitka,57.0531,-135.33,6.94,57,0,2.57,US,1680572418
399,kuytun,54.3419,101.5036,-2.22,66,100,4.08,RU,1680572557
400,tsiroanomandidy,-18.7667,46.0333,18.49,96,21,0.77,MG,1680572557
401,khuzhir,53.1939,107.3397,-4.49,73,84,5.07,RU,1680572558
402,fare,-16.7,-151.0167,27.85,73,98,3.56,PF,1680572558
403,the valley,18.217,-63.0578,25.05,75,6,8.57,AI,1680572558
404,raudeberg,61.9875,5.1352,4.37,72,27,5.59,NO,1680572558
405,talnakh,69.4865,88.3972,-24.89,96,100,3.37,RU,1680572453
406,ekhabi,53.5102,142.9671,-1.54,95,100,8.49,RU,1680572558
407,aberdeen,57.1437,-2.0981,4.27,95,47,2.57,GB,1680572559
408,ciempozuelos,40.1591,-3.621,12.96,36,100,2.94,ES,1680572559
409,puerto baquerizo moreno,-0.9,-89.6,26.38,80,50,1.14,EC,1680572559
410,funadhoo,6.15,73.2667,27.5,69,4,1.93,MV,1680572559
411,yulara,-25.2406,130.9889,28.68,35,100,3.21,AU,1680572559
412,maragogi,-9.0122,-35.2225,25.06,83,30,1.83,BR,1680572559
413,minna,9.6139,6.5569,26.8,27,100,1.38,NG,1680572560
414,watertown,42.3709,-71.1828,10.04,60,0,8.23,US,1680572560
415,gashua,12.871,11.0482,24.7,7,45,3.7,NG,1680572560
416,narsipatnam,17.6667,82.6167,27.19,77,41,1.73,IN,1680572560
417,westerland,54.9079,8.3033,-0.99,74,75,2.06,DE,1680572560
418,san pedro de ycuamandiyu,-24.0917,-57.0764,24.56,70,61,1.74,PY,1680572560
419,santa marta de tormes,40.9506,-5.6272,8.32,54,0,2.06,ES,1680572561
420,vratnica,42.1433,21.1169,1.85,98,100,1.67,MK,1680572561
421,aswan,24.0934,32.907,20.61,14,0,2.57,EG,1680572561
422,xining,36.6167,101.7667,3.06,66,100,1.48,CN,1680572561
423,benicarlo,40.4165,0.4271,11.42,59,0,2.05,ES,1680572561
424,soma,39.1855,27.6094,11.39,87,100,1.66,TR,1680572561
425,port augusta,-32.5,137.7667,26.84,18,38,1.31,AU,1680572561
426,shitkino,56.3703,98.3543,-1.48,94,100,5.92,RU,1680572562
427,sabaudia,41.3003,13.0282,11.37,70,100,2.43,IT,1680572562
428,emerald,-23.5333,148.1667,27.41,56,3,2.67,AU,1680572562
429,belmonte,-15.8631,-38.8828,23.83,89,99,3.92,BR,1680572562
430,seoul,37.5683,126.9778,18.78,15,0,4.12,KR,1680572315
431,plavinas,56.6178,25.7255,-2.58,87,67,2.43,LV,1680572563
432,urusha,54.05,122.9,-3.69,65,19,4.1,RU,1680572506
433,santa rosa,14.3122,121.1114,30.05,60,36,5.53,PH,1680572563
434,north charleston,32.8886,-80.0075,20.62,92,90,0.89,US,1680572379
435,melfi,40.9965,15.6514,6.38,90,100,5.81,IT,1680572564
436,son la,21.3167,103.9,28.96,30,54,0.49,VN,1680572564
437,goderich,43.7501,-81.7165,9.18,76,100,7.72,CA,1680572307
438,rubtsovsk,51.5,81.25,1.46,46,0,1.84,RU,1680572564
439,barra patuca,15.8,-84.2833,26.28,73,10,6.94,HN,1680572565
440,namtsy,62.7161,129.6658,-7.49,91,100,1.34,RU,1680572565
441,aktash,50.3,87.7333,-12.44,59,11,1.84,RU,1680572565
442,mindelo,16.8901,-24.9804,22.75,78,20,10.29,CV,1680572565
443,bogorodskoye,56.55,37.8833,6.14,93,100,2.08,RU,1680572566
444,oro valley,32.3909,-110.9665,25.1,28,0,9.79,US,1680572566
445,semey,50.4111,80.2275,-3.88,80,0,4.0,KZ,1680572566
446,naryan-mar,67.6713,53.087,-15.97,96,15,3.84,RU,1680572566
447,kuala terengganu,5.3302,103.1408,29.43,83,20,2.06,MY,1680572489
448,walvis bay,-22.9575,14.5053,15.53,82,0,2.57,NA,1680572567
449,juneau,58.3019,-134.4197,6.0,72,40,3.09,US,1680572567
450,naze,28.3667,129.4833,19.51,61,86,9.4,JP,1680572567
451,saldanha,-33.0117,17.9442,12.03,93,100,3.3,ZA,1680572567
452,paita,-5.0892,-81.1144,26.95,80,100,2.9,PE,1680572567
453,trinidad,-14.8333,-64.9,22.96,94,24,1.39,BO,1680572567
454,san nicolas,18.1725,120.5953,29.95,70,20,1.03,PH,1680572568
455,geraldton,-28.7667,114.6,23.23,64,75,7.72,AU,1680572562
456,hay river,60.8156,-115.7999,-11.01,73,75,4.12,CA,1680572568
457,manado,1.487,124.8455,27.43,89,40,1.54,ID,1680572569
458,gao,16.6362,1.637,25.31,8,6,3.77,ML,1680572569
459,rabo de peixe,37.8,-25.5833,12.73,82,20,3.6,PT,1680572569
460,santa cruz,-17.8,-63.1667,24.7,88,40,2.57,BO,1680572570
461,chumphon,10.3333,98.8333,27.9,58,79,2.48,TH,1680572570
462,ponta delgada,37.7333,-25.6667,13.4,82,20,3.6,PT,1680572570
463,moyale,3.5167,39.0584,20.65,75,100,1.5,KE,1680572570
464,nouakchott,18.0858,-15.9785,26.96,33,27,4.37,MR,1680572571
465,kamina,-8.7386,24.9906,17.44,97,100,0.36,CD,1680572571
466,sabha,27.0377,14.4283,13.65,17,0,3.07,LY,1680572571
467,camenca,48.0319,28.6978,4.28,87,100,3.78,MD,1680572571
468,ternate,0.8,127.4,28.87,69,98,1.6,ID,1680572571
469,mercedes,-34.6515,-59.4307,17.66,90,100,1.55,AR,1680572571
470,susehri,40.1644,38.0867,7.13,82,100,1.81,TR,1680572572
471,glenwood springs,39.5505,-107.3248,15.51,55,100,13.89,US,1680572572
472,port macquarie,-31.4333,152.9167,23.27,68,18,5.05,AU,1680572572
473,suzun,53.7841,82.3116,0.29,65,83,2.41,RU,1680572572
474,pangai,-19.8,-174.35,29.06,70,20,5.14,TO,1680572573
475,ambilobe,-13.2,49.05,22.1,96,11,1.44,MG,1680572573
476,leshukonskoye,64.8989,45.7622,-13.56,95,85,2.0,RU,1680572573
477,cayenne,4.9333,-52.3333,24.02,88,75,0.51,GF,1680572573
478,gallup,35.5281,-108.7426,13.91,21,0,14.4,US,1680572574
479,grao mogol,-16.5594,-42.8897,16.81,93,49,1.29,BR,1680572574
480,lima,-12.0432,-77.0282,26.61,69,40,6.17,PE,1680572014
481,vardo,70.3705,31.1107,-0.26,81,100,8.7,NO,1680572574
482,fortuna,40.5982,-124.1573,8.88,74,38,3.13,US,1680572336
483,havant,50.8567,-0.9856,5.59,78,1,0.45,GB,1680572574
484,ovalle,-30.5983,-71.2003,21.47,54,100,1.11,CL,1680572352
485,katangli,51.7102,143.2326,4.85,88,100,8.53,RU,1680572575
486,sobolevo,54.4299,31.8996,0.47,99,100,2.89,RU,1680572575
487,bugiri,0.5714,33.7417,17.09,92,100,1.33,UG,1680572575
488,omboue,-1.5746,9.2618,24.52,89,100,1.73,GA,1680572576
489,taksimo,56.3444,114.8794,-6.78,58,100,2.24,RU,1680572576
490,jalu,29.0331,21.5482,15.02,46,0,2.98,LY,1680572576
491,tanout,14.9709,8.8879,23.24,8,17,3.58,NE,1680572576
492,aquiraz,-3.9014,-38.3911,26.05,85,97,1.59,BR,1680572576
493,arsenyev,44.1631,133.2733,14.21,39,100,1.47,RU,1680572577
494,chara,56.9064,118.2631,-6.92,66,90,3.68,RU,1680572577
495,venancio aires,-29.6064,-52.1919,18.45,78,89,0.36,BR,1680572299
496,batticaloa,7.7102,81.6924,26.27,80,5,3.4,LK,1680572577
497,livingston,55.9029,-3.5226,5.62,85,0,0.51,GB,1680572577
498,iquique,-20.2208,-70.1431,25.02,84,6,0.58,CL,1680572392
499,stornoway,58.2093,-6.3865,8.98,80,100,9.77,GB,1680572577
500,hashtrud,37.4779,47.0508,4.68,75,1,1.47,IR,1680572577
501,kungurtug,50.5994,97.5228,-10.77,77,26,0.23,RU,1680572578
502,anupgarh,29.1911,73.2086,21.18,51,0,3.94,IN,1680572578
503,san matias,-16.3667,-58.4,23.41,87,2,2.23,BO,1680572578
504,kapuskasing,49.4169,-82.4331,-9.95,62,40,5.14,CA,1680572578
505,ataco,3.5915,-75.3818,24.79,72,82,1.94,CO,1680572578
506,skovorodino,53.9833,123.9167,-4.15,71,18,4.09,RU,1680572578
507,vangaindrano,-23.35,47.6,22.19,93,17,1.09,MG,1680572579
508,quesnel,52.9999,-122.5029,4.28,48,20,4.12,CA,1680572579
509,mehamn,71.0357,27.8492,0.97,86,75,12.86,NO,1680572579
510,tulun,54.5611,100.5792,-0.63,58,100,4.7,RU,1680572579
511,yeniseysk,58.4497,92.1703,-0.21,89,100,3.53,RU,1680572579
512,chiredzi,-21.05,31.6667,18.49,84,4,1.86,ZW,1680572505
513,nador,35.174,-2.9287,14.14,77,0,0.0,MA,1680572579
514,vostok,46.4856,135.8833,7.78,38,82,5.68,RU,1680572580
515,mangrol,21.1167,70.1167,24.52,77,6,2.96,IN,1680572580
516,chipiona,36.7366,-6.437,15.17,74,99,3.92,ES,1680572580
517,caravelas,-17.7125,-39.2481,25.0,73,100,3.71,BR,1680572481
518,road town,18.4167,-64.6167,26.05,65,40,5.14,VG,1680572374
519,smithers,54.7804,-127.1743,4.18,52,20,5.14,CA,1680572416
520,grenaa,56.4158,10.8783,0.33,54,100,2.54,DK,1680572581
521,svetlogorsk,52.6333,29.7333,-1.24,97,100,3.65,BY,1680572581
522,bharwari,25.55,81.5,28.23,27,16,2.47,IN,1680572581
523,tripoli,32.8752,13.1875,15.23,63,4,7.87,LY,1680572577
524,mola di bari,41.0609,17.0873,10.21,80,100,10.55,IT,1680572582
525,port moresby,-9.4431,147.1797,31.68,66,40,2.57,PG,1680572475
526,uvinza,-5.1036,30.3911,18.62,97,100,1.2,TZ,1680572582
527,cam ranh,11.9214,109.1591,29.98,66,0,0.51,VN,1680572563
528,muncie,40.1934,-85.3864,18.92,77,49,6.74,US,1680572583
529,cabedelo,-6.9811,-34.8339,26.37,79,15,4.04,BR,1680572583
530,bafq,31.6128,55.4107,12.57,23,0,2.23,IR,1680572584
531,desaguadero,-16.5656,-69.0417,7.8,80,100,2.15,PE,1680572584
532,melville,40.7934,-73.4151,10.42,81,0,6.17,US,1680572486
533,laminusa,5.5549,120.9136,28.09,72,100,4.17,PH,1680572584
534,sangmelima,2.9333,11.9833,19.91,99,100,0.77,CM,1680572584
535,flin flon,54.7682,-101.865,-14.66,96,94,1.57,CA,1680572585
536,dalbandin,28.8947,64.4101,17.67,17,0,3.38,PK,1680572585
537,odweyne,9.4092,45.064,22.52,70,1,2.96,SO,1680572585
538,dangtu,31.5723,118.4928,16.03,98,100,2.91,CN,1680572585
539,zyryanka,65.75,150.85,-9.77,74,13,6.9,RU,1680572586
540,kokopo,-4.352,152.2633,28.57,69,99,2.21,PG,1680572586
541,velyka bahachka,49.7912,33.7226,6.83,94,100,2.52,UA,1680572586
542,reshetylivka,49.565,34.0782,6.87,93,100,2.39,UA,1680572587
543,kendari,-3.945,122.4989,29.3,68,100,1.18,ID,1680572587
544,temple,31.0982,-97.3428,28.53,75,0,7.2,US,1680572507
545,ormara,25.2088,64.6357,23.29,61,0,1.91,PK,1680572587
546,bystrice nad pernstejnem,49.5229,16.2615,-1.03,58,2,5.37,CZ,1680572587
547,bandiagara,14.3501,-3.6104,26.8,8,2,3.4,ML,1680572588
548,kuusamo,65.9667,29.1833,-18.98,84,0,0.51,FI,1680572588
549,egvekinot,66.3167,-179.1667,-19.02,76,15,1.44,RU,1680572588
550,haines junction,60.7522,-137.5108,-1.03,37,12,3.6,CA,1680572589
551,le pradet,43.1066,6.0172,13.15,64,0,3.09,FR,1680572589
552,ust-tsilma,65.441,52.1498,-22.86,100,100,0.86,RU,1680572589
553,kasongo-lunda,-6.4667,16.8167,20.46,99,100,0.38,CD,1680572590
554,russell,32.3502,-85.1999,18.6,94,75,0.0,US,1680572590
555,kommunisticheskiy,61.6789,64.4819,-6.61,96,92,2.97,RU,1680572590
556,ugoofaaru,5.6667,73.0,27.25,72,7,2.41,MV,1680572574
557,qui nhon,13.7667,109.2333,28.34,71,17,3.83,VN,1680572591
558,gornyak,50.9942,81.4661,0.42,42,0,1.75,RU,1680572591
559,parakai,-36.65,174.4333,21.37,51,1,4.03,NZ,1680572592
560,srednekolymsk,67.45,153.6833,-9.26,66,10,2.53,RU,1680572592
561,deputatskiy,69.3,139.9,-11.37,91,69,1.63,RU,1680572592
562,whitehorse,60.7161,-135.0538,0.01,29,20,3.09,CA,1680572593
563,pemangkat,1.1667,108.9667,27.54,74,78,2.37,ID,1680572593
564,ohaeawai,-35.3509,173.8822,22.67,55,1,2.98,NZ,1680572593
565,sabzevar,36.2126,57.6819,8.36,58,39,2.66,IR,1680572593
566,westport,41.1415,-73.3579,10.42,77,0,5.66,US,1680572555
567,wattegama,6.7989,81.4808,24.98,85,5,1.15,LK,1680572594
